edge_name,fnode,tnode,length
588496,476,354A,616.2421893
353559,12383,1163,26.8475747
353560,12431,3283,95.51097757
353561,3283,1165,94.95709583
353562,12440,12481,109.6556065
353563,1195,12482,100.567725
353564,12579,3284,213.6461507
353565,12576,1198,228.5577082
353566,1196,12630,177.7863405
353567,1199,8427,132.4786667
353568,1200,12485,132.9785283
353569,1202,12484,127.0288794
353570,1203,140868,127.4813214
353571,1204,8765,106.0080202
353572,1205,4479,107.7871799
353573,1206,12479,133.9101294
353574,12443,12442,128.2243473
353575,8766,1208,126.8682141
353576,1166,12441,126.3690749
353577,1168,3286,150.1225404
353578,12392,1169,149.6153902
353579,12391,1170,141.5146329
353580,13040,6562,170.6426468
353581,12435,12434,129.5020542
353582,1172,12433,132.0821493
353583,1173,1174,132.47380690
353584,1175,12393,131.9822687
353585,1217,8406,337.0955794
353586,3274,8516,321.4357745
353587,9538,1218,222.4573985
353588,1218,9499,111.810422
353589,11926,11356,386.6461648
353590,11356,140668,360.0738118
353591,1219,140826,19.59848251
353592,1220,8767,392.2814776
353593,140667,11772,20.37471056
353594,1222,3275,208.3979728
353595,140667,11773,32.74270679
353596,1225,140667,163.9497874
353597,11773,1224,138.2832041
353598,11730,1226,157.7124324
353599,12174,12176,127.5583458
353600,12176,12213,99.43545062
353601,9903,1229,166.5230865
353602,9905,1230,163.0111235
353603,1231,1232,164.0572266
353604,1233,3277,165.6007998
353605,1234,10486,164.3918764
353606,4440,1236,161.7889641
353607,1236,1237,151.7522772
353608,1237,3278,12.70502568
353609,1239,10334,163.5544101
353610,10338,1241,165.3080499
353611,1242,1243,163.1275815
353612,9762,9761,163.3930697
353613,1244,9760,162.1976338
353614,9760,1245,163.3024751
353615,8768,8677,198.0774138
353616,8677,10178,120.3120489
353617,10179,1248,463.9142487
353618,1249,10182,334.3300094
353620,14366,1251,133.6360165
353621,14319,1254,10.72325812
353622,14358,31204,163.2651141
353623,14357,30810,163.3093942
353624,31203,1256,147.6636418
353625,14362,1258,109.6349263
353626,1259,8769,123.100858
353627,14364,1151,110.7317647
353628,9398,4430,314.270385
353629,8717,8409,333.4132029
353630,1025,1026,332.2642502
353631,1026,8513,331.2497226
353632,8513,1027,330.1270492
353633,9067,1090,135.7273873
353634,1090,1091,133.7716037
353635,1091,9062,131.9717195
353636,9062,1085,121.6227409
353637,1092,9110,135.7604441
353638,1093,1094,142.5494401
353639,9068,1095,122.313733
353640,1099,1100,123.5123765
353641,1101,1102,133.0673104
353642,9109,9108,135.7647681
353643,9108,1105,130.6341144
353644,1105,1106,132.3852839
353645,1106,9066,157.3362242
353646,9066,9065,158.8398927
353647,1107,1108,134.1104656
353648,1108,589,111.2931181
353649,3224,9162,165.547551
353650,9060,1114,136.5129179
353651,1114,9014,133.3481406
353652,1115,9015,143.2298524
353653,1118,9009,208.7293901
353654,9009,1119,202.2168915
353655,1119,942,206.8949685
353656,1007,8720,100.9128901
353657,9263,9262,142.6802768
353658,7508,9158,146.39296
353659,1120,9064,179.0668566
353660,9733,9735,155.1962798
353661,8216,954,132.6410374
353662,8989,8990,135.3634788
353663,955,8992,132.5373722
353664,956,957,132.4600973
353665,8713,8994,127.9666532
353666,958,9445,126.7115589
353667,9445,959,131.0303441
353668,8215,988,136.022213
353669,8993,989,133.0995475
353670,8219,4432,197.5899097
353671,991,992,132.1435144
353672,1167,140719,125.4219996
353673,1252,14315,162.2213639
353674,1094,9068,136.2041881
353675,9063,1121,78.34232825
353676,9446,1027,134.1419431
353677,1085,9734,160.0249588
353678,4439,82,23.39440512
353679,1160,12287,164.171531
353680,831,8316,172.8158631
353681,871,857,197.2477304
353682,929,3170,165.0896933
353683,3301,754,234.2350075
353684,12349,1616,201.8108245
353685,1499,12883,135.7455219
353686,1393,13558,144.7478457
353687,1401,547571,116.2107822
353688,3442,13202,104.6207414
353689,14502,4542,121.9808028
353690,13016,1592,204.4526915
353691,9701,9702,160.9723046
353692,14453,1297,132.6932393
353693,1843,1844,39.75698922
353694,13986,30717,157.2283587
353695,1892,1486,348.8383357
353696,9306,9305,142.2000161
353697,8912,1906,108.1045117
353698,14095,1735,137.8924286
353699,1657,13941,200.3300539
353700,9331,4145,146.6699578
353701,2913,10430,137.0597258
353703,8535,3870,135.4348601
353704,9481,3093,154.7214285
353706,3139,9380,128.9284187
353707,2737,12182P,108.3811342
353708,2742,2741,76.20773821
353709,12185,2739,54.36954559
353710,2694,12181,90.05047522
353711,12178,2744,137.2239965
353712,2743,12177,134.9898996
353713,8606,8605,192.5256815
353714,9743,941,187.4844479
353715,1193,1194,126.9302379
353716,14948,14947,123.8960817
353717,31202,14359,57.20531634
353718,13094,1323,139.2835942
353719,9654,1333,153.3206673
353720,9558,1348,161.0923265
353721,1265,1228P,97.49217988
353722,1285,10333,133.1328366
353723,1418,10191,130.0084842
353724,14336,14338,182.8634908
353725,14530,3525,144.2168077
353726,14482,3575,174.8648529
353727,3582,3578,227.5724495
353728,4192,3629,149.7695339
353729,3523,14490,170.2406778
353730,4191,14529,137.5062464
353731,14529,14489,154.8942148
353732,14481,3524,128.4386449
353733,3354,3524,137.2203986
353734,3528,25466,190.513717
353735,2198,9459,129.8320241
353736,9459,9458,133.1443199
353737,9458,3711,130.2989121
353738,2199,3712,138.6153313
353739,9452,2201,130.9966227
353740,2916,9438,121.4888932
353741,9347,2920,128.0886337
353742,9348,8338,103.6621796
353743,8338,2921,126.5843229
353744,2922,9350,125.7164786
353745,3980,2923,142.1702238
353746,2923,2924,139.1647313
353747,2967,2968,124.7490942
353748,2971,3770,142.7479982
353749,2774,13189,128.8293909
353750,13191,15550,111.7252521
353751,8290,13244,140.7403819
353752,13148,2819,138.400134
353753,2820,13193,56.08184424
353754,2821,13194,129.5965813
353755,13150,2824,119.4143023
353756,2824,2825,142.0000496
353757,15703,14982,105.5680056
353760,4141,3617,200.1660978
353761,3235,14981,159.8787854
353762,15028,3619,124.3450196
353763,3619,3620,138.0624654
353764,8287,10413,180.6863229
353765,2735,2734,132.5655477
353766,9840,140830,52.30035911
353767,9897,2313,131.4719889
353768,10410,2316,323.2812906
353769,10412,2317,105.3237009
353770,10411,2319,103.7073984
353771,2320,9891,122.3223149
353772,9891,2321,129.8537093
353773,10512,10510,131.5966387
353774,12177,2687,134.0367485
353775,15700,7687,205.3534974
353776,12227,2746,144.7917374
353777,12187,2749,116.5072341
353778,9524,2540,177.4117091
353779,2540,2538,217.835453
353780,2541,9563,190.3421484
353781,31101,9520,59.25967136
353782,2543,9519,139.4292167
353783,14891,2544,210.9920457
353784,7433,2544,351.7583608
353785,14889,2545,220.7718241
353786,2545,2546,203.9828765
353787,4041,2458,136.3670101
353788,2457,14645,164.6057732
353789,14645,2456,107.44084
353790,2456,14593,156.5782402
353791,10144,10145,137.8071631
353792,10145,2400,117.6262809
353793,10146,2401,120.9865241
353794,1917,140914,108.944174
353796,3605,1920,158.5778626
353797,13877,1921,39.18797278
353798,13983,1922,137.243681
353799,8914,1923,126.2318916
353800,13929,140769,129.6847381
353801,1925,1926,246.0526741
353802,1927,13785,136.0769228
353803,1928,13783,104.2525497
353804,9403,2091,150.7339563
353805,9114,9115,150.5775849
353806,9115,8921,149.788001
353807,8921,8721,146.269238
353808,9361,2092,153.9166001
353809,3660,2093,163.661254
353810,2825,2826,118.8352209
353811,2608,12145,178.9657365
353812,2039,1936,148.9830979
353813,1936,1937,152.6681903
353814,1938,14190,115.6998887
353815,14190,1939,115.8825251
353816,14182,4641,154.053768
353817,1940,1941,152.4227551
353818,14187,14189,153.4210618
353819,1942,14191,115.8050595
353820,13942,1944,155.6387963
353821,1945,3654,152.9579999
353822,8916,13990,152.8761229
353823,2202,9451,132.5359379
353824,9451,2203,132.0011681
353825,2203,2135,130.4513404
353826,1342,2204,125.8313483
353827,9503,2205,132.1239612
353828,2207,9359,132.5090962
353829,2208,9362,125.1012053
353830,9362,4687,131.2753173
353831,4482,2210,131.0224101
353832,2210,2211,129.5119446
353833,2973,8519,139.6780107
353834,3010,9226,160.293097
353835,2895,3925,171.3156881
353836,2896,2780,18.65262343
353837,3883,2785,150.1405954
353838,15022,14983,151.1432214
353839,14983,3621,144.1224238
353840,2415,14551,153.2732199
353841,15698,2460,142.9968787
353842,2462,3936,109.7940425
353843,3936,2463,109.3000859
353844,2463,14843,106.3135641
353845,9241,9242,155.0802868
353846,3146,3147,153.2797018
353847,8627,3150,176.9926257
353848,3151,9383,129.9275721
353849,9383,3244,145.3522939
353850,9289,9290,127.5251692
353851,9290,8382,119.3974167
353852,3245,9285,133.4513543
353853,3192,9286,134.4531379
353854,3248,16,92.87863253
353855,3249,9711,125.8149676
353856,12373,2695,105.8970172
353857,2695,12375,105.6194996
353858,12379,12467,148.589284
353859,2791,12188,117.5746428
353860,13104,2793,151.313915
353861,13105,2794,113.7135826
